q_0	q_0.222222222222222	q_0.444444444444444	q_0.666666666666667	q_0.888888888888889	q_1.11111111111111	q_1.33333333333333	q_1.55555555555556	q_1.77777777777778	q_2
PTGER4	0	0	0	0	0	0	0	0	0	0
MCC	0	0.000160669081331674	0.000323626783147501	0.000488915824519154	0.000656579761028286	0.000826663001885608	0.0009992108274266	0.00117426940695444	0.00135188581697115	0.00153210805979564
REG3A	1.11022302462516e-16	0.00131728281378762	0.00263202002815059	0.00394460179770339	0.00525541664654572	0.00656485162348597	0.00787329245631319	0.00918112370511475	0.0104887289148043	0.0117964907668489
USP38	0	0.00265291045549598	0.00527704993774953	0.00787578013849843	0.0104523577608501	0.0130099426474406	0.0155516055201674	0.0180803353577409	0.0205990464358055	0.0231105850530235
CYP2W1	0	0.000787464440710365	0.00149306330146526	0.00212623775848131	0.00269528314341838	0.00320749269786513	0.00366928286717094	0.00408630254586195	0.00446352836727674	0.00480534785353037
NFKBIB	0	0.00493647722824979	0.0100215732381964	0.0152730097864415	0.0207099357966851	0.0263530697543794	0.0322248559675387	0.0383496361031732	0.0447538375536357	0.0514661803471299
ING3	0	0.0161009986738782	0.0315685503637731	0.0465434421504585	0.0611533601685463	0.0755150973157925	0.0897364804102354	0.103918060646428	0.118154604929629	0.132536420360721
HIGD1A	0	0.0198982621993508	0.0424217215303934	0.0682327054517949	0.0981638382073715	0.133265266550605	0.174865476280532	0.224649723412509	0.284761320069876	0.35793260501895
DUOXA2	0	0.000387562406941155	0.000765705717376153	0.00113471767147322	0.00149487678555415	0.0018464526598525	0.00218970627575144	0.00252489028279643	0.00285224927593305	0.00317202006323547
CCDC149	0	0.00213301445546578	0.00428582642546396	0.00646072500724593	0.00866013029939805	0.0108866072682519	0.0131428811031302	0.0154318542332793	0.0177566251999268	0.0201205095997758
FAXDC2	0	0.00645942762774462	0.0123296124310747	0.0176830342483055	0.0225828204146978	0.0270840175473204	0.031234684375363	0.0350768314430216	0.0386472297135806	0.0419781068715777
