	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	model_used	fallback_level	correlation_structure	test_type	weights_source	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
57	LINC02362	0.310544509184948	0.310544509184948	160	16	160	NA	1.20451909313441	0.0743043785500456	138	TRUE	0.000674260210468791	FALSE	FALSE	Gaussian	TRUE	8.56166160117627	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	8.31489286883395e-06	FALSE	160	TRUE	0.983035972339837	ENSG00000249096.8	LINC02362
58	REG3A	0.365250540944689	0.365250540944689	160	16	160	NA	0.0611723712010068	0.566587717484386	115.999999998036	TRUE	-0.0750266630124686	FALSE	FALSE	Gaussian	FALSE	1	mgcv::gamm	gam_independence	4	none	anova_Chisq	none	4.2520590879938e-12	FALSE	120	FALSE	0.983035972339837	ENSG00000172016.16	REG3A
59	GDI1	0.36866192680864	0.36866192680864	160	16	160	NA	1.05916586198006	0.709093776218253	138	TRUE	-0.026846414149034	FALSE	FALSE	Gaussian	FALSE	2.43117235392096	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	8.39259247085243e-12	FALSE	160	FALSE	0.983035972339837	ENSG00000203879.13	GDI1
60	NFKBIB	0.375787367774815	0.375787367774815	160	16	160	NA	1.0427701753935	0.454721964433047	138	TRUE	-0.0160879055883422	FALSE	FALSE	Gaussian	TRUE	2.46331400685789	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	6.41352171628047e-10	FALSE	160	TRUE	0.983035972339837	ENSG00000104825.18	NFKBIB
61	IFIT3	0.392635263586435	0.392635263586435	160	16	160	NA	1.00505603165095	0.0263387354958755	138	TRUE	0.0187538179983708	FALSE	FALSE	Gaussian	FALSE	1.20953956285293	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	0.00142239673048144	FALSE	160	FALSE	0.983035972339837	ENSG00000119917.15	IFIT3
62	UBP1	0.532584344218149	0.532584344218149	160	16	160	NA	0.735442580441453	0.419552980117441	138	TRUE	-0.0224928036519395	FALSE	FALSE	Gaussian	TRUE	1.48526155533514	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	2.10176516868994e-14	FALSE	160	TRUE	0.983035972339837	ENSG00000153560.13	UBP1
63	USP38	0.58196683572744	0.58196683572744	160	16	160	NA	0.653658944090098	0.0459558402823568	138	TRUE	-0.00512105654139733	FALSE	FALSE	Gaussian	TRUE	7.15230574265107	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	0.000301228556919519	FALSE	160	TRUE	0.983035972339837	ENSG00000170185.13	USP38
64	IRF3	0.584552776779196	0.584552776779196	160	16	160	NA	0.649515634146342	0.341672339583665	138	TRUE	0.0192091947770945	FALSE	FALSE	Gaussian	TRUE	4.04518818982235	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	6.7451440983491e-05	FALSE	160	TRUE	0.983035972339837	ENSG00000126456.17	IRF3
65	FBXO3	0.591509628152136	0.591509628152136	160	16	160	NA	0.638431603917937	0.0328201719506843	138	TRUE	-0.00296363927889087	FALSE	FALSE	Gaussian	TRUE	11.3531241312159	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	4.76744853746568e-09	FALSE	160	TRUE	0.983035972339837	ENSG00000110429.15	FBXO3
66	ZNF493	0.610069225389573	0.610069225389573	160	16	160	NA	0.609287664784482	0.233030389367825	138	TRUE	0.00605152938641856	FALSE	FALSE	Gaussian	TRUE	9.14451105716901	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	1.07669694392187e-12	FALSE	160	TRUE	0.983035972339837	ENSG00000196268.12	ZNF493
