	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
21	SRPRA	6.60914160832452e-06	6.60914160832452e-06	648	8	648	NA	0.73277841960175	0.0606912622874248	642.494712844223	TRUE	0.107767837352815	TRUE	FALSE	Gaussian	TRUE	1.54071933529504	mgcv::gamm_arima(1,1,0)	0.00140792732644435	FALSE	648	FALSE	0.000382465475973376	ENSG00000182934.13	SRPRA
22	SLC25A16	7.96281487249106e-06	7.96281487249106e-06	648	8	648	NA	0.186238238143627	0.179561623522488	643.999999920223	TRUE	0.0580461859865894	TRUE	FALSE	Gaussian	TRUE	9.08306084001616	mgcv::gamm_arima(1,1,0)	9.75821396794384e-07	FALSE	648	FALSE	0.000437954817987008	ENSG00000122912.16	SLC25A16
23	CYP2W1	1.76101182092036e-05	1.76101182092036e-05	648	8	648	NA	1.84459901553493	0.579177618871643	643.989681930286	TRUE	0.182606442550505	TRUE	FALSE	Gaussian	TRUE	3.1028669412686	mgcv::gamm_arima(1,1,0)	5.22597989035393e-17	FALSE	648	FALSE	0.000950946383296993	ENSG00000073067.14	CYP2W1
24	IRF3	1.95984669747031e-05	1.95984669747031e-05	648	8	648	NA	0.0808010434256383	0.0706072920478164	643.999999881773	TRUE	-0.0382338247803777	TRUE	FALSE	Gaussian	TRUE	4.0468411229071	mgcv::gamm_arima(1,1,0)	2.01193940658701e-11	FALSE	648	FALSE	0.00103871874965927	ENSG00000126456.17	IRF3
25	SPIRE2	2.06938784747408e-05	2.06938784747408e-05	648	8	648	NA	0.0832746483349527	0.0361148402114524	643.891033514197	TRUE	0.0386354210191823	TRUE	FALSE	Gaussian	TRUE	1.47206603227636	mgcv::gamm_arima(1,1,0)	2.95915162381437e-10	FALSE	648	FALSE	0.00107608168068652	ENSG00000204991.12	SPIRE2
26	VRK2	2.27451382123379e-05	2.27451382123379e-05	648	8	648	NA	0.14187155219426	0.0619238758555992	643.99999990642	TRUE	0.0506625355489378	TRUE	FALSE	Gaussian	FALSE	37.7732442911471	mgcv::gamm_arima(1,1,0)	2.41692449524295e-21	FALSE	648	FALSE	0.00116000204882923	ENSG00000028116.19	VRK2
27	HIGD1A	2.65229424186339e-05	2.65229424186339e-05	648	8	648	NA	1.05548358668072	0.413417015637571	643.999999986509	TRUE	0.13818630488195	TRUE	FALSE	Gaussian	TRUE	1.48332276384324	mgcv::gamm_arima(1,1,0)	4.38343958902059e-19	FALSE	648	FALSE	0.0013261471209317	ENSG00000181061.15	HIGD1A
28	ENSG00000274322	3.42041780909896e-05	3.42041780909896e-05	648	8	648	NA	2.24043557255215	0.0547268429179547	642.598475030575	TRUE	0.186820287304635	TRUE	FALSE	Gaussian	TRUE	1.83249037582528	mgcv::gamm_arima(1,1,0)	5.74826764567671e-06	FALSE	648	FALSE	0.00167600472645849	ENSG00000274322.1	ENSG00000274322
29	PNPT1	4.835569485359e-05	4.835569485359e-05	648	8	648	NA	0.365596069609207	0.569047841144218	643.99999997147	TRUE	0.0813279866304315	TRUE	FALSE	Gaussian	TRUE	2.73062923682805	mgcv::gamm_arima(1,1,0)	1.85037227320261e-10	FALSE	648	FALSE	0.00232107335297232	ENSG00000138035.16	PNPT1
30	TLN2	6.84690191628913e-05	6.84690191628913e-05	648	8	648	NA	0.221488892735774	0.19325410597364	643.999999972068	TRUE	-0.0633016802617888	TRUE	FALSE	Gaussian	TRUE	6.22283993978839	mgcv::gamm_arima(1,1,0)	0.00340491929208448	FALSE	648	FALSE	0.00321804390065589	ENSG00000171914.18	TLN2
31	ANGEL2	9.61511333533214e-05	9.61511333533214e-05	648	8	648	NA	0.106920908945173	0.196600752842997	643.999999888851	TRUE	0.0439815551680307	TRUE	FALSE	Gaussian	TRUE	10.1451615755436	mgcv::gamm_arima(1,1,0)	7.87306877412767e-12	FALSE	648	FALSE	0.00442295213425278	ENSG00000174606.15	ANGEL2
32	ASMTL	0.000104103601813984	0.000104103601813984	648	8	648	NA	1.82087541692022	0.0993222155451361	642.672306192883	TRUE	-0.166201084817176	TRUE	FALSE	Gaussian	TRUE	1.65560298521785	mgcv::gamm_arima(1,1,0)	0.0190310233404872	FALSE	648	FALSE	0.00468466208162928	ENSG00000169093.17	ASMTL
33	A4GALT	0.00096997777109349	0.00096997777109349	648	8	648	NA	0.716951136265585	0.187363033916606	643.999999911624	TRUE	0.11388959228002	TRUE	FALSE	Gaussian	FALSE	1.70788198951559	mgcv::gamm_arima(1,1,0)	2.54952045405919e-08	FALSE	648	FALSE	0.0426790219281135	ENSG00000128274.18	A4GALT
34	PPP1R2	0.00165879248295716	0.00165879248295716	648	8	648	NA	0.621370196903051	0.142087103832668	643.640097563062	TRUE	0.103221849742557	TRUE	FALSE	Gaussian	TRUE	2.80732876971616	mgcv::gamm_arima(1,1,0)	2.55227169235001e-09	FALSE	648	FALSE	0.0713280767671581	ENSG00000184203.9	PPP1R2
35	FAM114A2	0.00174568487775804	0.00174568487775804	648	8	648	NA	0.222811171965143	0.468897700632761	642.524290700755	TRUE	-0.052207668464755	TRUE	FALSE	Gaussian	TRUE	4.17574643382714	mgcv::gamm_arima(1,1,0)	0.0301499539466717	FALSE	648	FALSE	0.0733187648658376	ENSG00000055147.20	FAM114A2
36	EPB41L4A-AS1	0.00186470129112276	0.00186470129112276	648	8	648	NA	0.268462544091324	0.0182912846746482	643.84707944386	TRUE	0.0688212408516332	TRUE	FALSE	Gaussian	FALSE	1.82831213032244	mgcv::gamm_arima(1,1,0)	6.77620041503833e-08	FALSE	648	FALSE	0.0764527529360332	ENSG00000224032.10	EPB41L4A-AS1
37	GDI1	0.00254140963784164	0.00254140963784164	648	8	648	NA	0.247104637987889	0.253383586702492	643.920175358674	TRUE	0.0664101495706585	TRUE	FALSE	Gaussian	TRUE	2.4364808770235	mgcv::gamm_arima(1,1,0)	1.11507814610459e-09	FALSE	648	FALSE	0.101656385513665	ENSG00000203879.13	GDI1
38	METTL26	0.00409375195711627	0.00409375195711627	648	8	648	NA	0.163545170756329	0.466277709480555	643.396530054419	TRUE	0.0494664329437493	TRUE	FALSE	Gaussian	TRUE	3.39203108817418	mgcv::gamm_arima(1,1,0)	8.18389764564412e-05	FALSE	648	FALSE	0.159656326327534	ENSG00000130731.17	METTL26
39	ZNF710	0.00531413550215244	0.00531413550215244	648	8	648	NA	0.0245925352197882	0.102514049899953	643.999999769943	TRUE	-0.0210931242706653	TRUE	FALSE	Gaussian	TRUE	62.1757979746554	mgcv::gamm_arima(1,1,0)	0.00010593174072736	FALSE	648	FALSE	0.201937149081793	ENSG00000140548.11	ZNF710
40	POLR2J4	0.0054028901856512	0.0054028901856512	648	8	648	NA	0.107271361493671	0.103899640026452	643.999999972963	TRUE	-0.0440535750626141	TRUE	FALSE	Gaussian	TRUE	12.8529072550403	mgcv::gamm_arima(1,1,0)	7.77362244947417e-16	FALSE	648	FALSE	0.201937149081793	ENSG00000290758.3	POLR2J4
41	PDE7A	0.0080603714122757	0.0080603714122757	648	8	648	NA	0.156522249722871	0.0116299036784683	643.999999942628	TRUE	0.0532141709840439	TRUE	FALSE	Gaussian	TRUE	4.71769557555693	mgcv::gamm_arima(1,1,0)	3.86113152674303e-08	FALSE	648	FALSE	0.290173370841925	ENSG00000205268.12	PDE7A
42	MCOLN1	0.00843810024832737	0.00843810024832737	648	8	648	NA	0.538920059733243	0.0132365812240536	643.779864649516	TRUE	-0.0959550677031104	TRUE	FALSE	Gaussian	TRUE	1.40502587406705	mgcv::gamm_arima(1,1,0)	3.12784261939188e-06	FALSE	648	FALSE	0.295333508691458	ENSG00000090674.17	MCOLN1
